Vbr,HTL,Electrode,SourceFile,Type,Week,DatasetRole
-7.39,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-8.04,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.59,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.56,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.32,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.93,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-6.97,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-9.82,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-8.68,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.27,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.42,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-7.98,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-8.12,PTAA,Ag,Vbr_stats_Ag.csv,Type5,8,Statistics
-2.17,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-1.97,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-1.88,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.05,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.01,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.09,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-0.82,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-0.73,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-1.61,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.16,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-0.86,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-0.85,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.74,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.73,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.25,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.52,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.57,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.83,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.57,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.2,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.43,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.3,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.59,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.43,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-1.65,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.41,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.3,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.71,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.14,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-2.73,MeO-2PACz,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.87,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.61,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.24,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.39,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.83,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-4.65,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-4.78,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.29,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.77,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.69,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.96,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-4.49,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-4.42,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.33,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.22,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.3,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.48,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.43,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.53,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.68,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.12,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.83,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-4.65,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.2,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.45,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.9,NiOx,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.49,PEDOT:PSS,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.34,PEDOT:PSS,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.22,PEDOT:PSS,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-4.39,PEDOT:PSS,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.37,PEDOT:PSS,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.48,PEDOT:PSS,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.75,PEDOT:PSS,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-4.37,PEDOT:PSS,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.62,PEDOT:PSS,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.68,PEDOT:PSS,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-3.92,PEDOT:PSS,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-8.8,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-5.55,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-5.87,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-11.42,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-8.01,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-6.88,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-10.46,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-10.06,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-10.41,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-9.61,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-10.48,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-10.89,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-9.65,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-10.64,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-9.18,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-9.45,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-8.05,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-10.02,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-10.14,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-10.72,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-10.32,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-10.57,Poly-TPD,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-15.56,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-15.42,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.04,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-15.54,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.64,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.84,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.52,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.32,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-15.38,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-15.98,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.78,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-15.68,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-15.95,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-16.59,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-16.77,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-16.74,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-17.08,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.06,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.08,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.35,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.82,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-16.25,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-13.66,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-13.86,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-16.07,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-15.4,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-16.2,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.64,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-14.52,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-17.62,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-17.3,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-16.78,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-18.19,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-17.32,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-17.12,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-15.01,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-12.51,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-11.54,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-16.8,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-11.4,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-16.28,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
-15.68,PTAA,Au,Vbr_stats_Au.csv,Type5,8,Statistics
